unit,naive,naive_yrs,factors,factors_gdp,factors_yrs,naive_log,naive_yrs_log,factors_log,factors_gdp_log,factors_yrs_log,naive_diff,factors_diff,factors_gdp_diff
BRB,.0020000001,.0020000001,.0020000001,.001,.02,.0040000002,.003,.003,.003,,.0070000002,.0060000001,.0040000002
BRN,.001,,.001,,,.003,.001,.0040000002,.0020000001,,.0060000001,.0049999999,.003
BWA,.0020000001,.0020000001,.0040000002,.0020000001,,.0060000001,.0070000002,.0040000002,.0049999999,.018999999,.0060000001,.0040000002,.003
CAF,.003,.0020000001,.0040000002,.0049999999,,.012,.014,.0080000004,.029999999,.094999999,.0070000002,.0060000001,.0080000004
CAN,.001,.001,.001,.001,,.003,.0020000001,.003,.003,,.0060000001,.0049999999,.003
CHE,.001,.001,.001,.001,,.003,.0020000001,.003,.003,,.0060000001,.0060000001,.0049999999
CHL,.0020000001,.0020000001,.003,.0020000001,,.0049999999,.003,.003,.0040000002,,.0070000002,.0060000001,.0040000002
CHN,.0040000002,.003,.0049999999,.0080000004,,.011,.014,.003,.0049999999,,.0070000002,.0049999999,.003
CIV,.0040000002,.003,.0060000001,.003,.048999999,.0070000002,.0060000001,.0070000002,.0049999999,,.0070000002,.0060000001,.0060000001
CMR,.0040000002,.003,.0070000002,.0040000002,,.0070000002,.0049999999,.0040000002,.0040000002,,.0070000002,.0060000001,.0049999999
COD,.0040000002,,.013,.0040000002,,.0080000004,.034000002,.0049999999,.0049999999,,.0070000002,.0060000001,.0060000001
COG,.003,.0020000001,.003,.003,,.0060000001,.0040000002,.0049999999,.0049999999,,.0070000002,.0049999999,.003
COL,.0020000001,.0020000001,.003,.0020000001,,.0049999999,.0040000002,.0040000002,.0040000002,,.0070000002,.0060000001,.0049999999
CRI,.0020000001,.0020000001,.003,.0020000001,,.0049999999,.003,.0040000002,.0040000002,,.0070000002,.0060000001,.0049999999
CYP,.0020000001,.0020000001,.001,.001,,.0040000002,.003,.0049999999,.0040000002,,.0060000001,.0049999999,.003
CZE,.001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0070000002,.0040000002,.0020000001
DEU,.001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0060000001,.0049999999,.003
DNK,.001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0060000001,.0060000001,.0049999999
DOM,.003,.0020000001,.0020000001,.0020000001,,.0049999999,.0040000002,.0049999999,.0049999999,,.0070000002,.0060000001,.0040000002
DZA,.0020000001,.001,.0020000001,.001,,.0040000002,.003,.018999999,.027000001,,.0070000002,.0060000001,.0040000002
ECU,.0020000001,.001,.0020000001,.0020000001,,.0049999999,.003,.0049999999,.0049999999,,.0070000002,.0060000001,.0040000002
EGY,.0040000002,.0040000002,.0040000002,.0040000002,,.0070000002,.0070000002,.0060000001,.0070000002,,.0070000002,.0049999999,.003
ESP,.001,.001,.001,.001,,.0040000002,.003,.0040000002,.003,,.0060000001,.0049999999,.0040000002
